4,16771,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user16770,Excellent week! Five stars!
0,4330,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user4329,Hate this! Completely horrible! !!!
4,14311,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user14310,Best purchase! So perfect! @user
0,5860,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user5859,This sucks! Totally poor!
0,10088,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user10087,HORRIBLE PRODUCT! SO HORRIBLE!
4,19727,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user19726,SO HAPPY WITH THIS! GREAT QUALITY!
4,5781,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user5780,I love this so much! great experience!
4,14429,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user14428,INCREDIBLE! ABSOLUTELY PERFECT!
0,9396,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user9395,NEVER BUYING AGAIN! TOO POOR!
4,14545,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user14544,BRILLIANT! LOVED THE WEEK!
0,2266,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user2265,Waste of money! Very useless!
0,7346,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user7345,Regret buying this! horrible!
0,11838,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user11837,So disappointed! Really bad!
4,4201,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user4200,Incredible! Absolutely beautiful!
4,15017,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user15016,Wow! Really perfect product!
4,1235,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user1234,Awesome! This made my day!
4,15627,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user15626,Incredible! Absolutely lovely!
4,11667,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user11666,I LOVE THIS SO MUCH! BEAUTIFUL EXPERIENCE!
0,17118,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user17117,Horrible service! So horrible!
4,10699,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user10698,Wow! Really excellent delivery!
0,5024,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user5023,BAD EXPERIENCE! VERY HORRIBLE! @user
0,18006,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user18005,Awful experience! Very disappointing!
0,9196,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user9195,Disappointed! Really awful!
0,16690,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user16689,Ruined my day! Very awful! :(
4,7257,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user7256,HAPPY CUSTOMER HERE! PERFECT! :(
4,15547,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user15546,AMAZING EXPERIENCE! VERY EXCELLENT!
0,18632,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user18631,USELESS PURCHASE! SO ANNOYING!
0,4590,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user4589,Worst service ever! Don't buy!
0,1196,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user1195,Don't recommend! Too annoying!
0,9286,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user9285,BAD EXPERIENCE! VERY DISAPPOINTING!
4,305,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user304,Wow! Really amazing experience!
0,1580,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user1579,Worst purchase! So annoying!
4,3973,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user3972,Wow! Really lovely item!
0,10158,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user10157,Frustrating! Really disappointing!
0,18564,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user18563,Waste of money! Very bad!
0,5392,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user5391,HATE THIS! COMPLETELY USELESS!
4,3639,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user3638,Wow! Really beautiful delivery!
4,10679,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user10678,Brilliant! Loved the quality! :)
4,12755,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user12754,Fantastic day! Very outstanding!
4,4313,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user4312,Great support! Love it! ???
0,970,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user969,Don't recommend! Too awful!
4,12889,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user12888,Amazing experience! Very beautiful!
4,7663,Mon Jan 01 00:00:00 UTC 2024,NO_QUERY,user7662,Wow! Really fantastic day!
